"","Rainfall","Evaporation","Sunshine","Air_Temperature","Wind_Speed","Relative_Humidity","Nitrogen.Oxide","Nitrogen.Dioxide","Nitrogen.Oxides","Carbon.Monoxide","Wind_Direction","PM_10","PM_2.5"
"1",0.4,4.4,6.5,28.2875,1.20416666666667,71.0625,0.00456695660867826,0.00961756648670266,0.0140074885022995,0.135702878588254,150.875,12.4938611688612,7.23453645953646
"2",0,5.8,1.3,26.4333333333333,1.3875,73.9416666666667,0.00731695660867826,0.0111175664867027,0.0182158218356329,0.123202878588254,149.916666666667,13.5095417532918,8.00246242092921
"3",4.8,4.6,9.9,26.625,1.66666666666667,68.0708333333333,0.00794195660867826,0.00978423315336933,0.0174658218356329,0.110702878588254,166.208333333333,8.02302783552784,3.04703645953646
"4",0,8.8,11.7,26.1583333333333,1.47083333333333,62.4666666666667,0.00756695660867826,0.010325899820036,0.0176324885022995,0.0815362119215874,151.375,13.2875,4.18333333333333
"5",0,9.6,9.7,26.6458333333333,1.49583333333333,61.9083333333333,0.00735862327534493,0.00795089982003599,0.0151324885022995,0.0648695452549208,120,11.9166666666667,3.67916666666667
"6",0,9.2,8.52032967032967,27.325,1.33333333333333,57.3541666666667,0.0046502899420116,0.00678423315336933,0.0112574885022995,0.0648695452549208,104.583333333333,9.44484725109725,2.83601822976823
"7",2.46896551724138,8.4,13,27.4166666666667,1.5375,60.075,0.00535862327534493,0.00611756648670266,0.0112158218356329,0.0648695452549208,117.083333333333,9.95833333333333,3.65833333333333
"8",2.46896551724138,9.4,13.1,28.0875,1.75,58.8708333333333,0.00973362327534493,0.00690923315336933,0.0163824885022995,0.0732028785882541,177.166666666667,11.1845417532918,3.77472135597136
"9",0,11,11.7,28.4,1.73333333333333,56.8458333333333,0.0106919566086783,0.00761756648670266,0.0180491551689662,0.0898695452549207,124.833333333333,9.85416666666667,2.8125
"10",0,10,11.5,28.5791666666667,1.52083333333333,58.5375,0.0118586232753449,0.00953423315336933,0.0210908218356329,0.114869545254921,121.041666666667,12.0125,4.48333333333333
"11",0,7.4,10.2,28.725,1.375,58.9041666666667,0.00973362327534493,0.00845089982003599,0.0178824885022995,0.0982028785882541,87.25,11.5563611688612,4.47620312620313
"12",2.46896551724138,8.4,10.3,29.0708333333333,1.48333333333333,59.975,0.00885862327534493,0.00924256648670266,0.0178408218356329,0.102369545254921,129.666666666667,11.525,4.42083333333333
"13",0,9.6,11.2,30.1166666666667,1.60416666666667,63.3375,0.00494195660867826,0.00849256648670266,0.0130074885022995,0.110702878588254,104.083333333333,21.0291666666667,8.65
"14",0.2,10.2,11.9,29.9875,6.45120532478926,48.6208333333333,0.00581695660867826,0.00974256648670266,0.0151741551689662,0.0940362119215874,184.875,20.2573472510973,7.3276848964349
"15",0,15.8,12.4,24.7625,1.7875,44.1625,0.0119419566086783,0.0109092331533693,0.0227574885022995,0.0857028785882541,175.208333333333,17.1166666666667,6.30833333333333
"16",2.46896551724138,11,13,24.9083333333333,2.36666666666667,47.0791666666667,0.0143169566086783,0.0118675664867027,0.0258408218356329,0.0898695452549207,180.791666666667,22.8083333333333,7.79166666666667
"17",0,10.8,12.8,24.8875,1.67083333333333,49.1875,0.0103169566086783,0.00990923315336933,0.0200491551689662,0.0940362119215874,160.75,18.2166666666667,4.95416666666667
"18",0,10.6,12.7,25.5916666666667,1.52916666666667,53.4416666666667,0.0101086232753449,0.0117425664867027,0.0215074885022995,0.110702878588254,143,25.6375,8.30416666666667
"19",0,8.8,12.2,25.9,1.4,54.9083333333333,0.0124419566086783,0.0142425664867027,0.0263408218356329,0.119036211921587,143.208333333333,20.5541666666667,6.76666666666667
"20",0,8.4,12.1,26.375,1.74166666666667,57.0375,0.0071502899420116,0.00853423315336933,0.0153408218356329,0.0815362119215874,160.708333333333,13.2583333333333,3.63333333333333
"21",0,10.2,5.7,26.3375,1.675,62.1791666666667,0.00410862327534493,0.00457589982003599,0.00850748850229954,0.0482028785882541,134.958333333333,7.77916666666667,1.4375
"22",0,6.8,13,27.025,1.42083333333333,61.6375,0.0134836232753449,0.00920089982003599,0.0224241551689662,0.110702878588254,124.208333333333,10.6031805844306,3.29435156310156
"23",0,8.6,12.1,27.3125,1.55833333333333,62.4833333333333,0.0147350729854029,0.0106220655868826,0.0250865976804639,0.148775302431429,127.875,11.6389307576808,4.61879427504427
"24",0,7.8,10,27.4333333333333,1.72916666666667,68.1291666666667,0.0139002899420116,0.00765923315336933,0.0213824885022995,0.148202878588254,104.875,12.4208333333333,4.875
"25",8.6,8.6,11.5,28.2333333333333,1.69166666666667,69.5291666666667,0.0119836232753449,0.00745089982003599,0.0192158218356329,0.164869545254921,97.0833333333333,11.6916666666667,5.15416666666667
"26",2.46896551724138,7.8,12.1,28.5375,1.70833333333333,65.3833333333333,0.0056502899420116,0.00390923315336933,0.00921582183563287,0.0982028785882541,112.791666666667,8.8125,4.8875
"27",0,8.8,12.7,28.6875,1.85416666666667,64.4208333333333,0.00569195660867826,0.00290923315336933,0.00842415516896621,0.0982028785882541,116.083333333333,9.86666666666667,3.43333333333333
"28",2.4,9,10.6,26.8291666666667,1.775,69.9208333333333,0.0075252899420116,0.00507589982003599,0.0124241551689662,0.106536211921587,152.125,11.85,3.57916666666667
"29",7.8,9,8.9,26.675,1.9625,67.525,0.0166919566086783,0.010075899820036,0.0264241551689662,0.152369545254921,164.833333333333,18.3375,5.90833333333333
